frame,status,target_id,center_x,center_y,target_x,target_y
0,detected,1,789.5,757.056,641.5,910
1,detected,1,790.4,755.906,644.5,908.5
2,detected,1,791.345,753.923,647.5,907.5
3,detected,1,798.39,748.73,680,914.5
4,detected,1,802.489,746.376,683,917
5,detected,1,805.121,745.073,685,918.5
6,detected,1,810.044,744.342,703.67,924.764
7,detected,1,814.074,743.513,707.5,925.5
8,detected,1,817.416,743.057,711.914,926.438
9,detected,1,820.051,743.154,716.318,928.551
10,detected,1,822.57,743.76,720.13,930.588
11,detected,1,828.389,743.193,737.348,933.907
12,detected,1,832.264,742.656,741.054,934.092
13,detected,1,835.295,741.911,744.691,933.97
14,detected,1,837.91,740.601,750.738,934.175
15,detected,1,839.75,739.431,753.318,933.964
16,detected,1,842.788,733.162,770.5,928
17,detected,1,844.683,729.489,773,928.5
18,detected,1,846.079,727.115,778.21,929.176
19,detected,1,852.186,718.738,810.507,919.375
20,detected,1,856.031,714.233,812.5,920
21,detected,1,858.492,711.878,815.541,920.872
22,detected,1,862.771,710.133,843.814,923.966
23,detected,1,865.124,709.173,845.713,924.326
24,detected,1,866.715,708.779,847,924.5
25,detected,1,870.085,700.91,870.5,908.5
26,detected,1,872.522,695.55,874.5,907
27,detected,1,874.087,692.603,876.5,906.5
28,detected,1,875.445,691.881,892.5,908.5
29,detected,1,876.43,692.314,896.468,909.713
30,detected,1,877.222,692.623,898.244,910.473
31,detected,1,877.797,694.002,908.688,911.784
32,detected,1,878.04,694.667,910.824,911.72
33,detected,1,878.102,694.699,912.562,910.869
34,detected,1,868.831,655.909,893.917,821.94
35,detected,1,853.382,619.275,870.643,785.643
36,detected,1,834.985,586.076,847.01,755.578
37,detected,1,815.417,555.217,825.565,727.877
38,detected,1,794.979,527.219,803.619,702.738
39,detected,1,729.289,478.071,685.5,627
40,detected,1,687.759,444.739,673.5,613
41,detected,1,658.617,420.106,659.5,598
42,detected,1,637.517,401.036,648.5,585.5
43,detected,1,621.985,387.07,640.788,578.862
44,detected,1,610.8,383.644,640.5,587
45,detected,1,606.991,385.82,648,594.5
46,detected,1,606.697,388.368,652.5,598
47,detected,1,615.505,400.748,678.37,620.974
48,detected,1,622.326,409.195,684.035,623.616
49,detected,1,627.629,415.357,688.5,627
50,detected,1,632.071,420.372,692.5,630
51,detected,1,635.639,426.054,696.336,635.177
52,detected,1,638.052,429.63,698.5,637
53,detected,1,639.828,431.146,701.664,636.823
54,detected,1,640.399,432.184,700.5,635.5
55,detected,1,640.444,433.001,701,636
